Transaction_ID,Date,Transaction_Description,Merchant_Name,Amount,Transaction_Type,Category
TXN000001,2024-05-08,SWIGGY DELHI,Swiggy,1037.45,Expense,Food & Dining
TXN000002,2022-09-04,MOBILE RECHARGE AIRTEL,Airtel,3950.00,Expense,Utilities
TXN000003,2024-05-03,HOUSE RENT NEFT,Landlord,56500.00,Expense,Rent
TXN000004,2024-12-11,SALARY CREDIT ACCENTURE,Accenture,193100.00,Income,Salary
TXN000005,2025-02-20,MOBILE RECHARGE AIRTEL,Airtel,1790.00,Expense,Utilities
TXN000006,2024-05-17,GOAIR FLIGHT,GoAir,71690.90,Expense,Travel
TXN000007,2024-06-16,MCDONALDS,McDonald's,1275.56,Expense,Food & Dining
TXN000008,2024-04-28,PET STORE PURCHASE,Heads Up For Tails,1830.00,Expense,Miscellaneous
TXN000009,2024-06-18,SPENCERS RETAIL,Spencer's,1257.52,Expense,Groceries
TXN000010,2022-01-02,DTH RECHARGE TATA PLAY,Tata Play,3970.00,Expense,Utilities
TXN000011,2022-11-27,SUBWAY,Subway,878.16,Expense,Food & Dining
TXN000012,2024-11-13,SALARY CREDIT HCL,HCL Technologies,185500.00,Income,Salary
TXN000013,2025-07-13,ZEPTO GROCERY,Zepto,4732.67,Expense,Groceries
TXN000014,2025-07-26,REFUND CREDIT,Merchant Refund,40530.00,Income,Transfer
TXN000015,2023-10-26,H AND M STORE,H&M,1380.00,Expense,Shopping
TXN000016,2022-06-19,GAS BILL PAYMENT,Indane Gas,2326.78,Expense,Utilities
TXN000017,2022-07-16,RENT TRANSFER,Landlord,16000.00,Expense,Rent
TXN000018,2025-11-28,HOTSTAR DISNEY,Disney+ Hotstar,199.00,Expense,Entertainment
TXN000019,2022-02-26,BARBEQUE NATION,Barbeque Nation,305.71,Expense,Food & Dining
TXN000020,2022-05-22,BLINKIT GROCERY,Blinkit,4200.00,Expense,Groceries
TXN000021,2025-06-01,SWIGGY DELHI,Swiggy,1007.22,Expense,Food & Dining
TXN000022,2025-02-13,HOUSE RENT NEFT,Landlord,22500.00,Expense,Rent
TXN000023,2024-07-14,OLA CABS,Ola,386.68,Expense,Transportation
TXN000024,2025-12-29,SALARY CREDIT WIPRO,Wipro Ltd,195300.00,Income,Salary
TXN000025,2023-01-21,COLLEGE FEE NEFT,University,51250.00,Expense,Education
TXN000026,2025-09-21,OYO ROOMS,OYO,54270.00,Expense,Travel
TXN000027,2023-10-31,INOX MOVIES,INOX,99.00,Expense,Entertainment
TXN000028,2022-03-08,RENT PAYMENT UPI,Property Owner,28500.00,Expense,Rent
TXN000029,2024-07-26,COURIER SERVICE PAYMENT,Delhivery,3110.00,Expense,Miscellaneous
TXN000030,2022-08-15,MAKEMYTRIP BOOKING,MakeMyTrip,66900.96,Expense,Travel
TXN000031,2024-12-24,MUTUAL FUND SIP,Groww,25410.00,Expense,Investment
TXN000032,2023-10-19,RENT TRANSFER,Landlord,38500.00,Expense,Rent
TXN000033,2024-10-09,ZEPTO GROCERY,Zepto,3380.00,Expense,Groceries
TXN000034,2025-01-01,PRACTO CONSULTATION,Practo,13226.01,Expense,Healthcare
TXN000035,2022-07-23,JIOMART GROCERY,JioMart,7600.00,Expense,Groceries
TXN000036,2023-07-01,SALARY CREDIT ACCENTURE,Accenture,183800.00,Income,Salary
TXN000037,2025-01-28,SALARY CREDIT TCS,TCS Ltd,151600.00,Income,Salary
TXN000038,2024-08-26,KFC,KFC,1240.00,Expense,Food & Dining
TXN000039,2023-07-27,ESSAR OIL FUEL STATION,Essar Oil,4178.96,Expense,Fuel
TXN000040,2025-12-21,BIGBASKET ONLINE,BigBasket,4410.00,Expense,Groceries
TXN000041,2023-06-21,OLA CABS,Ola,1561.18,Expense,Transportation
TXN000042,2024-11-29,BROADBAND INTERNET BILL,ACT Fibernet,2770.00,Expense,Utilities
TXN000043,2024-04-11,IMPS TRANSFER RECEIVED,Individual,3670.00,Income,Transfer
TXN000044,2023-09-18,NPS CONTRIBUTION,NPS Trust,24610.00,Expense,Investment
TXN000045,2022-05-12,MORE SUPERMARKET,More Retail,3490.00,Expense,Groceries
TXN000046,2024-04-02,UPI PAYMENT MISC,Individual,6210.00,Expense,Miscellaneous
TXN000047,2022-08-31,SALARY CREDIT ACCENTURE,Accenture,73300.00,Income,Salary
TXN000048,2025-03-17,SALARY CREDIT ACCENTURE,Accenture,180700.00,Income,Salary
TXN000049,2024-02-08,SONY LIV,SonyLIV,649.00,Expense,Entertainment
TXN000050,2024-02-04,PARKING FEE PAYMENT,Parking Services,544.62,Expense,Transportation
TXN000051,2023-07-22,GIFT PURCHASE UPI,Individual,639.15,Expense,Miscellaneous
TXN000052,2022-06-15,CASH WITHDRAWAL ICICI ATM,ICICI ATM,623.82,Expense,Cash Withdrawal
TXN000053,2025-07-21,AMAZON PRIME VIDEO,Amazon Prime,299.00,Expense,Entertainment
TXN000054,2024-11-01,ESSAR OIL FUEL STATION,Essar Oil,1250.14,Expense,Fuel
TXN000055,2024-02-18,AMAZON PRIME VIDEO,Amazon Prime,149.00,Expense,Entertainment
TXN000056,2023-10-20,RENT PAYMENT UPI,Property Owner,30000.00,Expense,Rent
TXN000057,2022-01-29,WATER BILL,Municipal Water Board,1160.00,Expense,Utilities
TXN000058,2024-08-20,SERVICE CHARGE DEBIT,Bank,7127.27,Expense,Miscellaneous
TXN000059,2024-10-13,ANNUAL MAINTENANCE FEE,Bank,1590.00,Expense,Miscellaneous
TXN000060,2025-12-19,NATURE BASKET,Nature's Basket,1480.00,Expense,Groceries
TXN000061,2024-04-21,TATA CLIQ,Tata Cliq,3464.82,Expense,Shopping
TXN000062,2022-07-05,SALARY CREDIT WIPRO,Wipro Ltd,156200.00,Income,Salary
TXN000063,2024-05-28,JIOMART GROCERY,JioMart,2651.43,Expense,Groceries
TXN000064,2022-09-01,ESSAR OIL FUEL STATION,Essar Oil,904.72,Expense,Fuel
