Transaction_ID,Date,Transaction_Description,Merchant_Name,Amount,Transaction_Type,Category
TXN00001,01-01-2021,ATM cash withdrawal,ICICI Bank ATM,5000.00,Debit,Cash Withdrawal
TXN00002,01-01-2021,Courier charges,Blue Dart,267.00,Debit,Miscellaneous
TXN00003,01-01-2021,Book purchase,Blossom Book House,411.11,Debit,Miscellaneous
TXN00004,02-01-2021,Restaurant dining,Meghana Foods,826.94,Debit,Dining
TXN00005,02-01-2021,UPI transfer,Laundry Service UPI,692.75,Debit,Transfer
TXN00006,03-01-2021,Online food order,Zomato,534.57,Debit,Dining
TXN00007,03-01-2021,Movie tickets,PVR Cinemas,845.07,Debit,Entertainment
TXN00008,03-01-2021,Gym membership,Cult Fit,2348.06,Debit,Miscellaneous
TXN00009,03-01-2021,Mobile accessories,Croma,1309.72,Debit,Miscellaneous
TXN00010,03-01-2021,UPI transfer,Sneha Rao,536.38,Debit,Transfer
TXN00011,04-01-2021,Fuel refill,HP Petrol Pump,1114.19,Debit,Fuel
TXN00012,04-01-2021,House rent payment,Prakash Reddy (Landlord),24000.00,Debit,Rent
TXN00013,05-01-2021,Netflix monthly subscription,Netflix,492.22,Debit,Entertainment
TXN00014,05-01-2021,UPI transfer,Uber India,387.61,Debit,Transfer
TXN00015,05-01-2021,Broadband internet bill,ACT Fibernet,1167.80,Debit,Utilities
TXN00016,06-01-2021,Electricity bill payment,BESCOM,2086.66,Debit,Utilities
TXN00017,07-01-2021,Restaurant dining,Barbeque Nation,960.11,Debit,Dining
TXN00018,07-01-2021,Water bill payment,BWSSB,381.06,Debit,Utilities
TXN00019,08-01-2021,Restaurant dining,Toit Brewpub,1912.50,Debit,Dining
TXN00020,08-01-2021,Fuel refill,Shell Fuel Station,921.02,Debit,Fuel
TXN00021,09-01-2021,Grocery shopping,BigBasket,861.81,Debit,Groceries
TXN00022,09-01-2021,Bike servicing,Bosch Car Service,2286.37,Debit,Miscellaneous
TXN00023,09-01-2021,UPI transfer,Priya Menon,633.67,Debit,Transfer
TXN00024,10-01-2021,UPI transfer,Sneha Rao,1003.11,Debit,Transfer
TXN00025,10-01-2021,UPI transfer,Local Kirana UPI,907.46,Debit,Transfer
TXN00026,11-01-2021,Grocery shopping,More Supermarket,1110.90,Debit,Groceries
TXN00027,11-01-2021,Courier charges,Blue Dart,231.90,Debit,Miscellaneous
TXN00028,11-01-2021,Online shopping order,Amazon,2384.18,Debit,Shopping
TXN00029,12-01-2021,Spotify Premium subscription,Spotify,118.89,Debit,Entertainment
TXN00030,12-01-2021,Fuel refill,Shell Fuel Station,1015.39,Debit,Fuel
TXN00031,12-01-2021,Grocery shopping,BigBasket,808.36,Debit,Groceries
TXN00032,12-01-2021,Dry cleaning,Pressto Dry Cleaners,483.46,Debit,Miscellaneous
TXN00033,12-01-2021,Online shopping order,Flipkart,2413.08,Debit,Shopping
TXN00034,13-01-2021,Restaurant dining,CTR Malleshwaram,740.82,Debit,Dining
TXN00035,13-01-2021,Online shopping order,Amazon,2502.74,Debit,Shopping
TXN00036,13-01-2021,Mobile postpaid bill,Airtel,663.94,Debit,Utilities
TXN00037,14-01-2021,UPI transfer,Auto Rickshaw UPI,811.14,Debit,Transfer
TXN00038,14-01-2021,Piped gas bill payment,GAIL Gas,588.82,Debit,Utilities
TXN00039,15-01-2021,Restaurant dining,Toit Brewpub,1947.89,Debit,Dining
TXN00040,15-01-2021,Grocery shopping,Big Bazaar,812.98,Debit,Groceries
TXN00041,15-01-2021,Pharmacy sundries,Apollo Pharmacy,621.44,Debit,Miscellaneous
TXN00042,15-01-2021,UPI transfer,Milk Vendor UPI,435.21,Debit,Transfer
TXN00043,15-01-2021,UPI transfer,Laundry Service UPI,629.44,Debit,Transfer
TXN00044,15-01-2021,UPI transfer,Uber India,544.77,Debit,Transfer
TXN00045,16-01-2021,Restaurant dining,Barbeque Nation,1450.58,Debit,Dining
TXN00046,16-01-2021,Grocery shopping,BigBasket,1402.24,Debit,Groceries
TXN00047,16-01-2021,Online shopping order,Amazon,1048.92,Debit,Shopping
TXN00048,16-01-2021,UPI transfer,Karthik S,355.80,Debit,Transfer
TXN00049,16-01-2021,UPI transfer,Namma Metro Recharge,313.95,Debit,Transfer
TXN00050,17-01-2021,Movie tickets booking,BookMyShow,1013.61,Debit,Entertainment
TXN00051,17-01-2021,Fuel refill,Indian Oil Petrol Pump,1020.40,Debit,Fuel
TXN00052,17-01-2021,Grocery shopping,Big Bazaar,1147.29,Debit,Groceries
TXN00053,17-01-2021,UPI transfer,Auto Rickshaw UPI,201.65,Debit,Transfer
TXN00054,18-01-2021,Grocery shopping,More Supermarket,779.83,Debit,Groceries
TXN00055,18-01-2021,Pharmacy medicine purchase,Apollo Pharmacy,1059.14,Debit,Medical
TXN00056,19-01-2021,Plant and garden supplies,Lalbagh Nursery,419.78,Debit,Miscellaneous
TXN00057,19-01-2021,UPI transfer,Uber India,884.73,Debit,Transfer
TXN00058,20-01-2021,Restaurant dining,CTR Malleshwaram,665.78,Debit,Dining
TXN00059,20-01-2021,UPI transfer,Namma Metro Recharge,437.48,Debit,Transfer
TXN00060,21-01-2021,UPI transfer,Ola Cabs,449.90,Debit,Transfer
TXN00061,22-01-2021,Grocery shopping,BigBasket,1505.50,Debit,Groceries
TXN00062,23-01-2021,Fuel refill,HP Petrol Pump,1155.36,Debit,Fuel
TXN00063,23-01-2021,Grocery shopping,DMart,874.48,Debit,Groceries
TXN00064,24-01-2021,Restaurant dining,Meghana Foods,867.43,Debit,Dining
TXN00065,24-01-2021,Movie tickets,PVR Cinemas,935.55,Debit,Entertainment
TXN00066,24-01-2021,Grocery shopping,BigBasket,1346.16,Debit,Groceries
TXN00067,24-01-2021,Salon and grooming,Naturals Salon,455.96,Debit,Miscellaneous
TXN00068,24-01-2021,UPI transfer,Milk Vendor UPI,856.93,Debit,Transfer
TXN00069,26-01-2021,Grocery shopping,Nature's Basket,613.05,Debit,Groceries
TXN00070,27-01-2021,Movie tickets booking,BookMyShow,1025.06,Debit,Entertainment
TXN00071,28-01-2021,Online food order,Swiggy,812.62,Debit,Dining
TXN00072,28-01-2021,Movie tickets booking,BookMyShow,604.09,Debit,Entertainment
TXN00073,28-01-2021,Fuel refill,HP Petrol Pump,1267.15,Debit,Fuel
